,odds_ratio,ci_low,ci_high,p_value,significant
sub_cat_at_risk,1.0237397772228591e+18,,,,False
visit_count,5010088580112542.0,,,,False
visit_favorable_rate,3019252912798718.0,,,,False
sess_distress_rate,8141700114523.919,,,,False
sleep_mean,5704712982126.453,,,,False
sub_cat_sexual_abuse,149329050060.73862,,,,False
sess_concern_rate,881994917.1575534,,,,False
edu_mean_attendance,11604487.203960871,,,,False
age_at_admission,397843.10760369455,,,,False
sub_cat_physical_abuse,26631.129073657532,,,,False
family_is_4ps,6281.382659544182,,,,False
initial_risk_numeric,2109.28992062941,,,,False
edu_mean_progress,16.97697614506607,,,,False
family_informal_settler,5.541783873160511,,,,False
nutrition_mean,0.7404464535003645,,,,False
serious_incident_count,0.699757621559668,,,,False
sess_progress_rate,0.08790879058625294,,,,False
sub_cat_trafficked,0.014594830951298234,,,,False
sess_count,0.0114482871152594,,,,False
visit_safety_concern_rate,0.01031728182826938,,,,False
has_special_needs,0.0008034824910908632,,,,False
health_mean,5.422440008506578e-07,,,,False
stay_months,6.205201325304196e-09,,,,False
family_solo_parent,2.127317679104784e-10,,,,False
sess_mean_duration,5.804154080901781e-11,,,,False
energy_mean,8.05698771016469e-14,,,,False
intv_achieved_count,1.5157946674965855e-15,,,,False
intv_achieved_rate,1.51579466749567e-15,,,,False
incident_count,2.0328504220276941e-16,,,,False
sess_referral_rate,3.8484497815107403e-17,,,,False
edu_completed_courses,1.632698762708754e-26,,,,False
visit_cooperative_rate,6.465178835673385e-32,,,,False
