,IRR,CI_low,CI_high,p_value,significant
"C(post_type, Treatment(reference='ThankYou'))[T.FundraisingAppeal]",14.703509374842646,9.410866268661161,22.97271916996886,3.5897103877948825e-32,True
"C(post_type, Treatment(reference='ThankYou'))[T.ImpactStory]",13.815075831358227,8.494652191875677,22.467820449283845,3.60221555942536e-26,True
"C(post_type, Treatment(reference='ThankYou'))[T.Campaign]",9.307550806572268,6.1577462607249265,14.068540395934633,3.541946255085358e-26,True
features_resident_story,4.194264618059823,2.8445761669861103,6.184350375454163,4.597636500683523e-13,True
"C(sentiment_tone, Treatment(reference='Informative'))[T.Emotional]",3.4500029319043493,2.567813984804009,4.6352735441843445,2.0558754212898363e-16,True
is_boosted,3.252498207252906,2.570562321017465,4.1153425854293815,8.855271918079148e-23,True
"C(media_type, Treatment(reference='Text'))[T.Reel]",2.678165248947429,1.8332013026072917,3.912592190758524,3.5132013053645534e-07,True
"C(sentiment_tone, Treatment(reference='Informative'))[T.Urgent]",2.644441791839178,1.946519875544204,3.5926026126347628,4.963959196049796e-10,True
"C(sentiment_tone, Treatment(reference='Informative'))[T.Celebratory]",2.6144233233280767,1.9093290089237387,3.579901254113735,2.0576001206595865e-09,True
"C(sentiment_tone, Treatment(reference='Informative'))[T.Grateful]",1.787819061559076,1.3198844882439082,2.4216490347019786,0.00017501631902392837,True
"C(media_type, Treatment(reference='Text'))[T.Video]",1.7511187326483733,1.2866390428964005,2.383276671698941,0.0003671560881953025,True
"C(sentiment_tone, Treatment(reference='Informative'))[T.Hopeful]",1.7486088941513473,1.3055400376023072,2.34204465327674,0.00017803542158057316,True
"C(platform, Treatment(reference='LinkedIn'))[T.YouTube]",1.7399413335826297,1.029842860305761,2.939667750291985,0.03846532933408718,True
"C(platform, Treatment(reference='LinkedIn'))[T.WhatsApp]",1.6325116037868108,0.5036439120187364,5.291623849509452,0.4140156761646724,False
"C(media_type, Treatment(reference='Text'))[T.Carousel]",1.6161527465194754,1.1270326262288044,2.3175457740051075,0.009048616828035228,True
"C(media_type, Treatment(reference='Text'))[T.Photo]",1.5755936524072178,1.193379915026717,2.0802221708669695,0.0013409101860925132,True
log_followers,1.5316998976649432,0.6107810931441032,3.841154552492466,0.36337541771186865,False
"C(content_topic, Treatment(reference='Gratitude'))[T.CampaignLaunch]",1.4773165103856625,0.9924507970961529,2.1990652617175783,0.05452673835642968,False
"C(content_topic, Treatment(reference='Gratitude'))[T.Health]",1.2598786181158144,0.8590942845830972,1.847636703991924,0.2369948786295789,False
"C(platform, Treatment(reference='LinkedIn'))[T.TikTok]",1.2491835217265397,0.5791982485051677,2.6941715983783703,0.5704701106986878,False
has_call_to_action,1.216692812276401,0.0,inf,0.9999970770826077,False
"C(content_topic, Treatment(reference='Gratitude'))[T.AwarenessRaising]",1.214805436081626,0.819665944967972,1.8004313300964747,0.33237798667827856,False
"C(call_to_action_type, Treatment(reference='None'))[T.LearnMore]",1.1419755019501168,0.0,inf,0.9999980215524529,False
"C(call_to_action_type, Treatment(reference='None'))[T.SignUp]",1.1394854158439989,0.0,inf,0.999998054082891,False
"C(call_to_action_type, Treatment(reference='None'))[T.ShareStory]",1.086888166997676,0.0,inf,0.9999987583448203,False
num_hashtags,1.0804112486877766,1.001024407395957,1.166093911064206,0.047004580956203544,True
is_weekend,1.0527008790075667,0.8624488238000272,1.284921620949712,0.6135727542760685,False
mentions_count,1.0343806332207655,0.9329374369353224,1.1468542819944394,0.5209668807338335,False
"C(content_topic, Treatment(reference='Gratitude'))[T.DonorImpact]",1.0033395353540087,0.694209782431367,1.4501239375777946,0.9858450682485926,False
"C(content_topic, Treatment(reference='Gratitude'))[T.Reintegration]",1.0009880523322485,0.6761161605869432,1.4819599638649106,0.9960640707462384,False
caption_length,0.999773676323626,0.9960064773976731,1.003555123939793,0.9064524812868504,False
"C(content_topic, Treatment(reference='Gratitude'))[T.Education]",0.9840298139541581,0.6843887217195869,1.4148606545088573,0.9307562188115208,False
"C(post_type, Treatment(reference='ThankYou'))[T.EducationalContent]",0.9831114852742365,0.6126575167704309,1.5775668559050358,0.9437233821054498,False
"C(content_topic, Treatment(reference='Gratitude'))[T.SafehouseLife]",0.9760523115601331,0.6810048833497981,1.3989299316265489,0.894995740050025,False
"C(post_type, Treatment(reference='ThankYou'))[T.EventPromotion]",0.9643042464145297,0.6298215502500436,1.4764224553509229,0.8671769121282069,False
"C(platform, Treatment(reference='LinkedIn'))[T.Instagram]",0.8831368128557321,0.24315615690512626,3.2075298448037683,0.850210037250957,False
"C(call_to_action_type, Treatment(reference='None'))[T.DonateNow]",0.8625461995433493,0.0,inf,0.9999977964221333,False
"C(content_topic, Treatment(reference='Gratitude'))[T.EventRecap]",0.7622138064066935,0.45765534575660033,1.2694484879588048,0.29682123274648076,False
"C(platform, Treatment(reference='LinkedIn'))[T.Facebook]",0.7353069522950767,0.15517804702588794,3.4842319803346586,0.6984882809619338,False
"C(platform, Treatment(reference='LinkedIn'))[T.Twitter]",0.7191732781543688,0.2799829620451971,1.8472917074425725,0.49341281242433666,False
hour_sin,0.4966648659414873,0.43100697148940564,0.5723248239077242,3.896117104837342e-22,True
hour_cos,0.4690461491211302,0.4018333581670016,0.5475013100179899,8.497232038797947e-22,True
Intercept,0.0040306976819074435,1.3516485783117082e-05,1.2019783887337743,0.057870041592635514,False
