,odds_ratio
sub_cat_at_risk,1.0237397772228591e+18
visit_count,5010088580112542.0
visit_favorable_rate,3019252912798718.0
sess_distress_rate,8141700114523.919
sleep_mean,5704712982126.453
sub_cat_sexual_abuse,149329050060.73862
sess_concern_rate,881994917.1575534
edu_mean_attendance,11604487.203960871
age_at_admission,397843.10760369455
sub_cat_physical_abuse,26631.129073657532
family_is_4ps,6281.382659544182
initial_risk_numeric,2109.28992062941
edu_mean_progress,16.97697614506607
family_informal_settler,5.541783873160511
nutrition_mean,0.7404464535003645
serious_incident_count,0.699757621559668
sess_progress_rate,0.08790879058625294
sub_cat_trafficked,0.014594830951298234
sess_count,0.0114482871152594
visit_safety_concern_rate,0.01031728182826938
has_special_needs,0.0008034824910908632
health_mean,5.422440008506578e-07
stay_months,6.205201325304196e-09
family_solo_parent,2.127317679104784e-10
sess_mean_duration,5.804154080901781e-11
energy_mean,8.05698771016469e-14
intv_achieved_count,1.5157946674965855e-15
intv_achieved_rate,1.51579466749567e-15
incident_count,2.0328504220276941e-16
sess_referral_rate,3.8484497815107403e-17
edu_completed_courses,1.632698762708754e-26
visit_cooperative_rate,6.465178835673385e-32
